iteration,penguin,length
66,0,655150.02
66,12,656685.90
66,5,654309.36
66,9,659415.47
66,1,658352.68
66,13,658700.14
66,6,661994.59
66,10,651314.90
66,2,655902.00
66,14,660517.74
66,7,661411.79
66,11,656726.94
66,3,659999.97
66,15,654913.43
67,12,661744.09
67,0,655601.68
67,4,662577.19
67,8,658550.10
67,13,660073.65
67,1,658422.93
67,5,659043.06
67,9,658239.18
67,14,662284.38
67,2,660714.37
67,6,656651.96
67,10,657033.37
67,15,658851.32
67,3,659224.94
67,7,659356.59
67,11,659257.44
68,4,659858.25
68,8,658851.79
68,0,657911.67
68,12,657448.61
68,5,658516.76
68,9,660233.60
68,1,657380.99
68,13,660858.80
68,6,657801.43
68,10,655195.95
68,2,660346.75
68,14,659385.04
68,7,650804.64
68,11,661581.71
68,3,659014.66
68,15,656765.91
69,12,656125.80
69,4,666090.96
69,8,655765.38
69,0,659306.31
69,13,662582.42
69,5,659953.86
69,9,660021.01
69,1,658072.84
69,14,661263.65
69,6,660489.02
69,10,657048.47
69,2,657806.15
69,15,660167.04
69,7,659603.37
69,11,656476.23
69,3,659799.60
70,4,661830.89
70,12,655740.12
70,8,655536.96
70,0,658186.76
70,5,656456.99
70,13,656801.47
70,9,660726.05
70,1,660015.39
70,6,655419.98
70,14,657620.82
70,10,655682.03
70,2,658125.66
70,7,657148.60
70,15,660166.92
70,11,655700.88
70,3,663595.86
71,4,661181.09
71,8,659178.68
71,0,655528.04
71,12,656302.41
71,5,656777.85
71,9,662317.73
71,1,659084.45
71,13,662817.45
71,6,653604.00
71,10,658523.11
71,2,660491.94
71,14,657937.13
71,7,658925.90
71,11,658227.22
71,3,661498.03
71,15,659854.02
72,4,661676.00
72,8,657341.84
72,0,658904.19
72,12,659136.99
72,5,656404.94
72,9,660101.68
72,1,663264.26
72,13,660650.06
72,6,656077.76
72,10,658259.26
72,2,655731.23
72,14,664337.95
72,7,660162.12
72,11,657831.29
72,3,661705.04
72,15,660774.64
73,0,654951.42
73,12,659357.63
73,8,655816.29
73,4,660415.52
73,1,659131.63
73,13,665836.17
73,9,656700.55
73,5,658897.20
73,2,658464.85
73,14,661059.79
73,10,657617.57
73,6,659890.02
73,3,659823.52
73,15,658083.82
73,11,658323.49
73,7,655812.82
74,0,656512.00
74,12,661706.47
74,8,655080.41
74,4,661576.58
74,1,657705.22
74,13,659253.98
74,9,663547.86
74,5,655789.46
74,2,656935.64
74,14,657056.26
74,10,659872.04
74,6,653945.55
74,3,655912.00
74,15,651892.03
74,11,656638.83
74,7,658502.24
75,4,660849.74
75,12,656930.03
75,0,657969.93
75,8,661922.67
75,5,657889.91
75,13,656237.42
75,1,652819.75
75,9,660378.25
75,6,659669.40
75,14,663513.70
75,2,654303.74
75,10,658506.88
75,7,659996.78
75,3,655457.84
75,15,654186.34
75,11,652958.32
76,4,662988.18
76,12,657477.72
76,8,658131.96
76,0,652526.03
76,5,657027.08
76,13,656412.46
76,9,663084.48
76,1,657614.16
76,6,655556.58
76,14,662034.15
76,10,655300.33
76,2,655062.86
76,7,658693.42
76,15,655129.57
76,11,657602.43
76,3,657363.15
77,4,658535.44
77,0,655861.19
77,8,660749.21
77,12,656890.11
77,5,657084.27
77,1,657638.79
77,9,657759.94
77,13,658858.85
77,6,656092.71
77,2,659794.00
77,10,655082.75
77,14,662775.85
77,7,660410.25
77,3,661359.03
77,11,659485.91
77,15,651704.57
78,8,660934.65
78,12,654167.13
78,4,659487.44
78,0,656796.87
78,9,661660.14
78,13,663609.09
78,5,656894.14
78,1,657030.81
78,10,657129.27
78,14,665739.21
78,6,655097.80
78,2,655471.60
78,11,655781.96
78,15,655609.85
78,7,658000.19
78,3,660214.72
79,4,660525.76
79,12,656746.26
79,8,653190.27
79,0,654784.19
79,5,658122.84
79,13,660557.16
79,9,663098.79
79,1,660646.07
79,6,657711.25
79,14,661091.56
79,10,657103.72
79,2,656071.11
79,7,660892.20
79,15,657153.61
79,11,661629.11
79,3,660104.20
80,8,658189.97
80,4,658142.65
80,0,657683.04
80,12,659227.51
80,9,661170.48
80,5,657849.68
80,1,657793.62
80,13,657136.55
80,10,656666.96
80,6,657106.06
80,2,657860.74
80,14,659873.15
80,11,654604.67
80,7,659703.66
80,3,659602.03
80,15,656191.21
81,4,661437.61
81,0,657507.90
81,12,657026.63
81,8,659604.28
81,5,654379.94
81,1,653759.18
81,13,654265.57
81,9,663133.87
81,6,657228.16
81,2,655641.25
81,14,658710.21
81,10,656176.20
81,7,660924.54
81,3,658261.52
81,15,656438.96
81,11,657226.51
82,4,659284.02
82,12,656704.05
82,8,659841.30
82,0,657624.44
82,5,654969.51
82,13,664428.73
82,9,662440.35
82,1,651124.61
82,6,658580.65
82,14,661541.34
82,10,657873.52
82,2,657913.04
82,7,655656.98
82,15,657095.65
82,11,658918.54
82,3,658784.87
83,4,665507.23
83,8,654688.50
83,0,657861.05
83,12,660618.93
83,5,658034.15
83,9,663617.04
83,1,661028.88
83,13,659524.74
83,6,656403.21
83,10,656603.92
